IPTV,#genre#
内蒙古卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000098?m3u8=.m3u8
山西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000099?m3u8=.m3u8
云南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000060?m3u8=.m3u8
西藏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000100?m3u8=.m3u8
兵团卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000462?m3u8=.m3u8
央视精品,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000057?m3u8=.m3u8
女性时尚,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000055?m3u8=.m3u8
时代兵器,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000053?m3u8=.m3u8
风云足球,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000051?m3u8=.m3u8
高尔夫台,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000049?m3u8=.m3u8
央视台球,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000047?m3u8=.m3u8
怀旧剧场,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000043?m3u8=.m3u8
风云剧场,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000041?m3u8=.m3u8
第一剧场,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000039?m3u8=.m3u8
风云音乐,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000037?m3u8=.m3u8
快乐垂钓,http://10.255.126.3:8006/AHBKLIVE/4d0ec3c7a7cf41458ce3c7e241f7ed7a?m3u8=.m3u8
CETV-1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000463?m3u8=.m3u8
CETV-2,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000251?m3u8=.m3u8
CETV-4,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000252?m3u8=.m3u8
山东教育,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000248?m3u8=.m3u8
财富天下,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000183?m3u8=.m3u8
茶频道,http://10.255.126.3:8006/AHBKLIVE/ccfffb202e2e4795b85241af37abc8de?m3u8=.m3u8
金鹰纪实,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000569?m3u8=.m3u8
卡酷动画,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000150?m3u8=.m3u8
金鹰卡通,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000151?m3u8=.m3u8
嘉佳卡通,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000448?m3u8=.m3u8
